2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04192520+2756133,Gaia DR2 164436297557793280,,04 19 25.21,+27 56 12.9,8.978,-26.256,7.783,GaiaDR2,,,7,1,0,0,1,*,2MASS J04192520+2756133
2MASS J04192625+2826142,Gaia DR2 164504467278644096,V819Tau,04 19 26.26,+28 26 14.3,8.357,-25.471,7.623,GaiaDR2,16.640,15,7,1,1,1,0,*,2MASS J04192625+2826142
2MASS J04193545+2827218,Gaia DR2 164598303725243776,FRTau,04 19 35.47,+28 27 22.0,11.933,-25.972,8.388,GaiaDR2,16.200,17,0,0,1,1,0,,2MASS J04193545+2827218
2MASS J04194127+2749484,Gaia DR2 164422961683000320,LkCa7A+B,04 19 41.28,+27 49 48.4,9.937,-24.961,7.944,GaiaDR2,17.980,15,0,0,1,1,0,,2MASS J04194127+2749484
2MASS J04194148+2716070,,IRAS04166+2708,04 19 41.47,+27 16 07.0,,,,,,,0,0,1,1,0,,2MASS J04194148+2716070
,,IRAS04166+2706,04 19 42.50,+27 13 36.8,,,,,,,0,0,1,1,0,,IRAS 04166+2706
2MASS J04194657+2712552,,[GKH94]41,04 19 46.58,+27 12 55.1,,,,,,,0,0,1,1,0,,2MASS J04194657+2712552
2MASS J04194819+2750007,Gaia DR2 164423034698790656,,04 19 48.21,+27 50 00.3,9.401,-26.110,7.807,GaiaDR2,16.410,17,7,1,0,0,1,*,2MASS J04194819+2750007
2MASS J04195040+2820485,,,04 19 50.41,+28 20 48.6,,,,,,,0,0,0,1,0,,2MASS J04195040+2820485
2MASS J04195844+2709570,,IRAS04169+2702,04 19 58.44,+27 09 57.2,,,,,,,0,0,1,1,0,,2MASS J04195844+2709570
2MASS J04201611+2821325,Gaia DR2 164593115404749440,,04 20 16.10,+28 21 32.4,8.556,-25.181,7.782,GaiaDR2,16.070,17,7,1,1,1,0,*,2MASS J04201611+2821325
2MASS J04202144+2813491,,,04 20 21.43,+28 13 49.1,,,,,,,0,0,1,1,0,,2MASS J04202144+2813491
2MASS J04202555+2700355,Gaia DR2 152349022637314176,,04 20 25.56,+27 00 35.6,11.351,-17.730,5.900,GaiaDR2,16.450,17,8,1,1,1,0,*,2MASS J04202555+2700355
2MASS J04202583+2819237,Gaia DR2 164546038266077824,IRAS04173+2812,04 20 25.82,+28 19 23.9,10.661,-24.222,8.218,GaiaDR2,,,0,0,1,1,0,,2MASS J04202583+2819237
2MASS J04202606+2804089,Gaia DR2 164445437248152832,,04 20 26.06,+28 04 09.1,8.332,-26.074,7.873,GaiaDR2,16.430,17,7,1,1,1,0,*,2MASS J04202606+2804089
2MASS J04203918+2717317,Gaia DR2 152362491654557696,XEST16-045,04 20 39.19,+27 17 31.9,10.415,-26.085,7.545,GaiaDR2,15.280,17,7,0,1,1,0,,2MASS J04203918+2717317
2MASS J04204301+2810364,,,04 20 43.01,+28 10 36.4,,,,,,,0,0,0,1,0,,2MASS J04204301+2810364
2MASS J04205273+1746415,Gaia DR2 47446336216710784,J2-157,04 20 52.73,+17 46 41.5,4.014,-14.974,8.579,GaiaDR2,,,0,0,1,0,0,,2MASS J04205273+1746415
2MASS J04210749+2703022,,,04 21 07.49,+27 03 02.2,,,,,,,0,0,0,1,0,,2MASS J04210749+2703022
2MASS J04210795+2702204,Gaia DR2 152302946228152448,,04 21 07.94,+27 02 20.4,,,,,16.870,17,0,0,1,1,0,,2MASS J04210795+2702204
2MASS J04210934+2750368,Gaia DR2 152416436443721728,,04 21 09.34,+27 50 37.0,7.952,-26.851,8.482,GaiaDR2,,,7,0,1,1,0,,2MASS J04210934+2750368
2MASS J04210934+2750368,Gaia DR2 152416436441091584,,04 21 09.34,+27 50 37.0,,,,,,,0,0,1,1,0,,2MASS J04210934+2750368
2MASS J04211038+2701372,,IRAS04181+2654B,04 21 10.39,+27 01 37.2,,,,,,,0,0,1,1,0,,2MASS J04211038+2701372
2MASS J04211146+2701094,,IRAS04181+2654A,04 21 11.47,+27 01 09.5,,,,,15.160,17,0,0,1,1,0,,2MASS J04211146+2701094
